Username,storyCount,tweetCount
CliftonHughes_,3,3
CannonSher,15,54
mtthsberger,6,15
QueennArielle,8,8
Stanley_Cox_,7,9
NewspeakDaily,60,90
JohnieVOGUE,6,8
DrMichaelGarcia,8,8
BatonRougeVoice,43,80
ErRivvvvers,9,10
WillisBonnerr,7,8
GarrettSimpson_,12,22
Seattle_Post,22,27
MarissaImStrong,9,13
KenCannone,4,6
GallowayEliana,5,6
dannythehappies,3,9
FightM_D_B,7,9
holycrapchrix,2,14
RamonasNails,3,3
DorothieBell,24,33
DatWiseNigga,11,13
brianaregland,4,5
staywoke88,4,4
DanaGeezus,9,10
Baltimore0nline,26,35
NewarkVoice,14,14
KadirovRussia,1,1
patriototus,9,13
BrianTheLifter,8,8
DallasTopNews,33,50
OaklandOnline,32,39
lukas_rosler,5,5
TheFoundingSon,54,94
pureDavie,4,10
PeytonCashOut,7,9
Sergeev_Tolik,1,1
Mil0Blake,12,18
SusaYung,4,12
DailySanDiego,37,49
hollandpatrickk,7,7
hipppo_,3,6
Blk_Voice,4,5
LILJordamn,6,7
CynthiaMHunter,7,16
CurtisBigMan,2,10
TodayMiami,15,16
CoryNaeNae,4,5
queenofthewo,9,13
MichelleArry,9,13
EvaGreen69,11,22
JassScott,9,11
bydrbre_,2,2
BigBoySneed,1,2
ChrixMorgan,7,8
Crystal1Johnson,12,21
BrucieDublin,2,2
KansasDailyNews,114,165
PaulineTT,5,5
happkendrahappy,17,30
KarenParker93,8,13
Aldrich420,8,11
KenzDonovan,20,24
KaydenMelton,4,4
LazyKStafford,7,9
DonnieLMiller,11,11
toneporter,1,4
inst_vets,4,5
JerStoner,8,8
RealTEN_GOP,7,11
ElPasoTopNews,10,10
instotus,3,4
SpecialAffair,36,51
gloed_up,32,57
WorldOfHashtags,8,10
ImaSwerve,10,12
DonnaBRivera,16,29
SamirGooden,7,7
RegieBlackmon,3,3
JeaNuttella,6,6
AntonHayHay,7,7
RobbyDelaware,9,11
PrettyLaraPlace,9,11
redlanews,22,39
DickyIrwin,2,9
BGarner2107,6,10
MaxDementiev,3,7
wadeharriot,12,13
CharlesRespeck,1,1
mrclydepratt,8,11
LysikVinkova,1,1
DailyLosAngeles,18,23
ChesPlaysChess,31,104
CassieWeltch,3,5
TravisRespek,4,5
maymaymyy,6,8
acejinev,7,8
ChicagoDailyNew,63,75
GiselleEvns,10,12
MelvinSRoberts,4,15
ZzzacharyZzz,6,6
TodayBostonMA,50,67
blacneighbor,2,2
MrMoraan,8,8
Hollydler,8,13
ImaPharrelFake,5,6
lagonehoe,3,4
Adrienne_GG,1,10
DominicValent,3,14
NotRitaHart,1,1
heyheyhailey,7,11
nj_blacknews,5,8
ponomarevSlav,1,1
ChadSloyer,7,7
PatriotBlake,18,23
TrayneshaCole,9,11
WashingtOnline,70,95
BlackToLive,13,18
KathieMrr,2,10
BigSeanBeast,5,5
cascaseyp,2,10
brightandglory,2,10
StLouisOnline,22,27
YouJustCtrlC,3,10
Siccerthanyou,3,3
EliasBrick,6,7
taraformation,2,2
Luke_Jones13,4,8
TodayPittsburgh,61,77
WhiteHouseCards,3,4
PhoenixDailyNew,16,17
Bocharnikov_V,1,1
MissouriNewsUS,20,32
anzgri,1,1
WokeFromDay1,2,2
RosieOnFleek,2,2
Gab1Aldana,4,22
BLMSoldier,6,6
NehemiahX,1,1
Jery_RobertsYo,6,6
IMissObama,4,4
DaileyJadon,8,14
HoustonTopNews,19,31
deusXYX,11,14
PamBLMDaniels,5,6
JmsCoxxx,1,1
berkhoff85,6,15
BerlinBote,7,7
LeroyLovesUSA,15,19
Atlanta_Online,22,30
Kotovamarys,1,1
4MySquad,6,12
ScreamyMonkey,51,90
KateRitterrrr,13,18
GlobalFoe,2,2
AmelieBaldwin,64,158
camosaseko,18,40
todayinsyria,4,5
chrisuport_port,5,12
NewOrleansON,92,169
WorldnewsPoli,42,89
Jani_s_Jac,8,9
Jeblary2016,11,25
JudeLambertUSA,8,19
coldwar20_ru,2,2
PatriotRaphael,6,16
AlecMooooody,12,12
DetroitDailyNew,43,45
CornellBurchet,2,2
janelperkinson,3,5
MeggieONeil,4,4
_NickLuna_,11,17
NotBallinYet,1,1
AmandaVGreen,9,16
Jihadist2ndWife,4,5
DailySanFran,77,99
JacquelinIsBest,18,35
ravenicholson,5,6
PhiladelphiaON,28,32
mr_clampin,2,2
EmileeWaren,12,17
BlackNewsOutlet,6,7
RH0lbr00k,9,22
HiImKhloe,3,3
riafanru,3,6
Pati_Cooper,4,6
JarrardNorman,3,11
BleepThePolice,19,54
maximgaron1,2,2
ArchieOlivers,4,12
PriceForPierce,6,10
SanAntoTopNews,16,24
JohnnyMarch_,8,9
MalloryJared,10,11
PigeonToday,68,91
AdamChapmanJR,2,3
Kelvin_Chambers,4,5
BrentMcclure275,6,6
Pamela_Moore13,45,135
abigailssilk,1,1
Williams_Diana_,2,2
internalmemer,2,2
OGDeandre,6,7
IIddaaMarks,6,9
claudia42kern,1,1
darknally,4,5
heyits_toby,8,9
blackmattersus,7,10
StanleyParris,9,10
cassishere,14,19
DamaniMiles,5,5
JacksonCityPost,1,1
SouthLoneStar,54,118
JadonHutchinson,7,7
Politweecs,51,78
JeffreyKahunas,12,13
J0hnLarsen,12,16
CharlesJHarper,5,5
BigBoyJasiah,4,4
CalebPaar,1,3
IlikeBIGbuttand,5,18
TEN_GOP,101,519
OnlineMemphis,9,9
JeanneMccarthy0,8,13
USA_Gunslinger,43,88
CarrieThornthon,12,13
WatchMeWalkin,15,18
OnlineCleveland,37,62
PaolaKinck,7,14
RyanMaxwell_1,8,12
AdrGreerr,4,5
Jasper_Fly,4,4
HunterOddddom,6,6
CooknCooks,15,18
BlackEyeBlog,21,61
PolitOpros,3,3
LauraBaeley,14,26
zubovnik,4,5
JaydaAstonishin,7,8
PeeOnHillary,1,1
SincerePruitt,1,1
ArturBuranof,1,1
TessyElmore,2,2
melanymelanin,8,8
OneMightyFish,7,7
DevineDevinBr,5,5
WarfareWW,13,25
finley1589,19,33
TodayCincinnati,15,18
BriceGeller,3,4
tpartynews,30,68
FinnaGlo,6,6
Jenn_Abrams,144,248
iLoveSarahRich,5,6
skatewake1994,2,2
ClayPaigeBoo,3,3
TodayNYCity,93,151
JohnieBoyCooks,2,2
GwennyThot,8,9
HellieEdwards,1,7
aantiracist,2,2
RichmondVoice,7,7
cookiiieeessss,9,10
razvedchica_,3,3
rightnpr,13,18
RobertEbonyKing,2,2
Patriot_Archive,3,3
RUS_IN_USA,1,1
VasilichVasili,1,1
RealRobert1987,9,12
SCOTTGOHARD,7,15
erdollum,7,11
March_for_Trump,5,5
JavonHIDP,14,18
LoraGreeen,7,17
WesternWindWes,7,9
NoJonathonNo,9,10
RandolphBurrr,6,9
hyddrox,39,80
Aiden7757,2,8
traceyhappymom,3,8
dontshootcom,1,1
interFischer,5,7
Beckster319,7,7
BaoBaeHam,9,10
JohnBranchh,5,7
ItsTimeToSecede,3,4

